Feature,Importance
Elevation,0.09230098873376846
Soil_Type2,0.06278381496667862
Soil_Type22,0.05637135356664658
Wilderness_Area1,0.05165914446115494
Soil_Type4,0.04933879151940346
Soil_Type32,0.04582449421286583
Soil_Type12,0.04026363790035248
Soil_Type39,0.03875189647078514
Soil_Type23,0.03231013566255569
Wilderness_Area3,0.03205936029553413
Wilderness_Area4,0.02924689836800098
Soil_Type38,0.02885227650403976
Soil_Type29,0.02664007991552353
Wilderness_Area2,0.02500503696501255
Soil_Type31,0.02200205251574516
Soil_Type24,0.0187844131141901
Soil_Type10,0.01852932199835777
Soil_Type33,0.01843693666160107
Soil_Type30,0.01835892535746098
Soil_Type35,0.01728813908994198
Soil_Type3,0.01679521612823009
Horizontal_Distance_To_Hydrology,0.01444033067673445
Horizontal_Distance_To_Roadways,0.01370547246187925
Soil_Type13,0.01320727914571762
Horizontal_Distance_To_Fire_Points,0.01289116032421589
Hillshade_Noon,0.01200370583683252
Soil_Type27,0.01196835376322269
Soil_Type17,0.01151256170123816
Soil_Type20,0.01132282335311174
Soil_Type11,0.01098396629095078
Soil_Type21,0.0104008512571454
Soil_Type16,0.00984105933457613
Soil_Type9,0.009679719805717468
Vertical_Distance_To_Hydrology,0.009191026911139488
Soil_Type26,0.008091554045677185
Hillshade_9am,0.007839636877179146
Aspect,0.007588099222630262
Soil_Type25,0.007364778779447079
Soil_Type6,0.007324519567191601
Soil_Type37,0.007276983931660652
Soil_Type40,0.006577231455594301
Hillshade_3pm,0.006523576099425554
Soil_Type19,0.006383488420397043
Soil_Type34,0.006379261147230864
Soil_Type1,0.006082642357796431
Soil_Type18,0.005978407338261604
Soil_Type28,0.005580720491707325
Slope,0.005488712806254625
Soil_Type5,0.003869866719469428
Soil_Type8,0.00341874361038208
Soil_Type14,0.003232966177165508
Soil_Type36,0.001340349903330207
Soil_Type7,0.0009070791420526803
Soil_Type15,0.0
